Course ,Section ,Faculty ,Time ,Room ,Seats Available
ACT201 ,1,RNH ,MW 01:00 PM - 02:30 PM ,NAC201 ,0
ACT201 ,2,TsA ,MW 08:00 AM - 09:30 AM ,NAC311 ,0
ACT201 ,3,MdM ,MW 02:40 PM - 04:10 PM ,NAC201 ,0
ACT201 ,4,HHq1 ,MW 04:20 PM - 05:50 PM ,NAC210 ,0
ACT201 ,5,ASy ,MW 09:40 AM - 11:10 AM ,NAC201 ,0
ACT201 ,6,ASy ,MW 11:20 AM - 12:50 PM ,NAC201 ,0
ACT201 ,7,Aru ,RA 01:00 PM - 02:30 PM ,NAC203 ,0
ACT201 ,8,SHA1 ,RA 01:00 PM - 02:30 PM ,NAC410 ,0
ACT201 ,9,KSR ,RA 09:40 AM - 11:10 AM ,NAC203 ,0
ACT201 ,10,SmR1 ,RA 09:40 AM - 11:10 AM ,NAC210 ,0
ACT201 ,12,SmR1 ,RA 11:20 AM - 12:50 PM ,NAC203 ,0
ACT201 ,13,FHW ,RA 11:20 AM - 12:50 PM ,NAC210 ,13
ACT201 ,14,MRe ,RA 11:20 AM - 12:50 PM ,NAC401 ,0
ACT201 ,15,SHA1 ,RA 11:20 AM - 12:50 PM ,NAC402 ,0
ACT201 ,16,SHA1 ,ST 01:00 PM - 02:30 PM ,NAC202 ,0
ACT201 ,17,SoR ,ST 01:00 PM - 02:30 PM ,NAC203 ,0
ACT201 ,18,IAC ,ST 02:40 PM - 04:10 PM ,NAC201 ,0
ACT201 ,19,NNh ,ST 02:40 PM - 04:10 PM ,NAC202 ,0
ACT201 ,20,IAC ,ST 04:20 PM - 05:50 PM ,NAC207 ,0
ACT201 ,21,Sbr ,ST 08:00 AM - 09:30 AM ,NAC604 ,12
ACT201 ,22,FHW ,ST 08:00 AM - 09:30 AM ,NAC415 ,20
ACT201 ,23,RMB ,ST 08:00 AM - 09:30 AM ,NAC413 ,0
ACT201 ,24,TSj ,ST 08:00 AM - 09:30 AM ,NAC410 ,0
ACT201 ,25,MRe ,ST 08:00 AM - 09:30 AM ,NAC402 ,0
ACT201 ,26,NNh ,ST 09:40 AM - 11:10 AM ,NAC202 ,0
ACT201 ,27,Sbr ,ST 09:40 AM - 11:10 AM ,NAC203 ,1
ACT201 ,28,TSj ,ST 09:40 AM - 11:10 AM ,NAC207 ,0
ACT201 ,29,NNh ,ST 11:20 AM - 12:50 PM ,NAC201 ,0
ACT201 ,30,SoR ,ST 11:20 AM - 12:50 PM ,NAC202 ,0
ACT201 ,31,Sys ,ST 11:20 AM - 12:50 PM ,NAC203 ,0
ACT202 ,1,IAC ,MW 01:00 PM - 02:30 PM ,NAC210 ,0
ACT202 ,2,SoR ,MW 01:00 PM - 02:30 PM ,NAC307 ,0
ACT202 ,3,RNH ,MW 02:40 PM - 04:10 PM ,NAC202 ,1
